('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         1003849 function calls (974791 primitive calls) in 19.996 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      278    0.004    0.000    0.016    0.000 _connection.py:272(_process_event)
      278    0.003    0.000    0.004    0.000 _state.py:316(_fire_state_triggered_transitions)
      278    0.002    0.000    0.007    0.000 _state.py:275(process_event)
      272    0.010    0.000   16.062    0.059 http11.py:209(_receive_event)
      272    0.001    0.000    0.001    0.000 _connection.py:260(_server_switch_event)
      270    0.003    0.000   12.170    0.045 _models.py:884(iter_bytes)
      270    0.003    0.000   12.150    0.045 _models.py:935(iter_raw)
      270    0.003    0.000   12.140    0.045 http11.py:196(_receive_response_body)
      270    0.001    0.000   12.141    0.045 http11.py:330(__iter__)
      270    0.001    0.000   12.142    0.045 connection_pool.py:401(__iter__)
      270    0.002    0.000    0.002    0.000 _events.py:299(__init__)
      270    0.001    0.000   12.144    0.045 default.py:125(__iter__)
      270    0.001    0.000   12.145    0.045 _client.py:152(__iter__)
  265/210    0.002    0.000    0.002    0.000 _compiler.py:439(_get_literal_prefix)
      264    0.001    0.000    0.017    0.000 _decoders.py:95(decode)
      264    0.015    0.000    0.015    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      262    0.001    0.000    0.001    0.000 element.py:658(_last_descendant)
      258    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      255    0.001    0.000    0.066    0.000 _parser.py:97(closegroup)
      255    0.002    0.000    0.004    0.000 _parser.py:85(opengroup)
      243    0.001    0.000    0.001    0.000 _models.py:166(encoding)
      235    0.001    0.000    0.001    0.000 _parser.py:954(fix_flags)
      235    0.002    0.000    0.546    0.002 _parser.py:970(parse)
      235    0.003    0.000    0.937    0.004 _compiler.py:743(compile)
      235    0.005    0.000    0.071    0.000 _compiler.py:514(_compile_info)
      235    0.001    0.000    0.002    0.000 _parser.py:230(__init__)
      235    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      235    0.002    0.000    0.384    0.002 _compiler.py:576(_code)
