('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         902524 function calls (875473 primitive calls) in 10.480 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3840    0.007    0.000    0.007    0.000 {method 'add' of 'set' objects}
     3874    0.007    0.000    0.007    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.007    0.007 string.py:1(<module>)
     3764    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
     3894    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
      258    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:372(release)
      218    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:420(__exit__)
      160    0.002    0.000    0.007    0.000 enum.py:1596(__or__)
      977    0.004    0.000    0.007    0.000 _parser.py:448(_uniq)
  142/137    0.001    0.000    0.007    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
        1    0.000    0.000    0.007    0.007 string.py:69(__init_subclass__)
     3444    0.007    0.000    0.007    0.000 __init__.py:290(can_be_empty_element)
      142    0.003    0.000    0.007    0.000 css_parser.py:369(__init__)
        1    0.000    0.000    0.007    0.007 filepost.py:1(<module>)
     3336    0.007    0.000    0.007    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.007    0.007 retry.py:1(<module>)
      951    0.006    0.000    0.006    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.006    0.006 __meta__.py:1(<module>)
     3326    0.006    0.000    0.006    0.000 {method 'keys' of 'dict' objects}
      182    0.001    0.000    0.006    0.000 typing.py:789(<genexpr>)
        1    0.000    0.000    0.006    0.006 _common.py:1(<module>)
     2591    0.005    0.000    0.006    0.000 {built-in method builtins.getattr}
     3443    0.006    0.000    0.006    0.000 _markupbase.py:36(getpos)
       17    0.002    0.000    0.006    0.000 __init__.py:358(namedtuple)
