('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         903499 function calls (876469 primitive calls) in 5.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      441    0.002    0.000    0.004    0.000 socket.py:84(<lambda>)
      440    0.002    0.000    0.004    0.000 socket.py:79(<lambda>)
      741    0.002    0.000    0.004    0.000 filter.py:322(matches_tag)
     1034    0.003    0.000    0.004    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.004    0.004 __init__.py:126(EntryPoint)
        1    0.000    0.000    0.004    0.004 base64mime.py:1(<module>)
        1    0.000    0.000    0.004    0.004 queue.py:1(<module>)
      343    0.002    0.000    0.004    0.000 enum.py:78(_is_private)
        1    0.000    0.000    0.004    0.004 status_codes.py:1(<module>)
        1    0.001    0.001    0.004    0.004 status_codes.py:109(_init)
        1    0.000    0.000    0.003    0.003 cookiejar.py:1247(CookieJar)
       64    0.001    0.000    0.003    0.000 enum.py:354(__setitem__)
      641    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        9    0.000    0.000    0.003    0.000 cookiejar.py:950(set_ok)
        7    0.000    0.000    0.003    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.003    0.003 request.py:910(AbstractBasicAuthHandler)
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
      641    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        7    0.000    0.000    0.003    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
     1766    0.003    0.000    0.003    0.000 {method 'isupper' of 'str' objects}
      164    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
        1    0.000    0.000    0.003    0.003 dammit.py:734(UnicodeDammit)
        3    0.000    0.000    0.003    0.001 request.py:2532(proxy_bypass_environment)
       20    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
     1655    0.003    0.000    0.003    0.000 {built-in method _sre.unicode_iscased}
        1    0.003    0.003    0.003    0.003 models.py:909(text)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1579(_IPv4Constants)
      330    0.001    0.000    0.003    0.000 <frozen os>:735(__iter__)
        2    0.000    0.000    0.003    0.002 glob.py:1(<module>)
